"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"SPINK1",-71.0264184403189,27.9609574159575,-24.6386267109672,2.07742993498893e-21,5.27002425907991e-17,27.9179719657678
"CDH23",40.9483720577881,65.513494258905,22.7312158123661,2.05075432485455e-20,2.60117678564551e-16,26.9489775670816
"NPIPB5",40.8028459839619,64.3790857452057,22.26705678878,3.67457480172467e-20,3.10722045233838e-16,26.6881403976645
"SAP25",38.1930494225549,69.5609475117885,20.4898793357273,3.80510399469749e-19,2.41319695343715e-15,25.5848338233041
"MRPS18C",-32.1217759543374,58.6393506864966,-19.9748457166265,7.74425180288367e-19,3.92912359471106e-15,25.2309415739374
"PPP2CB",-30.9878147987038,73.8753658896036,-19.6608268412281,1.20376388859867e-18,5.08951372099517e-15,25.0069265697874
"UQCRBP1",-34.6614168571093,60.5589847954452,-19.160678819276,2.46124080260952e-18,6.982113150036e-15,24.6366139002476
"CCDC127",-30.2066124519654,58.2663091250373,-19.1335413721601,2.55979654003571e-18,6.982113150036e-15,24.6160318652717
"C1RL",30.3091740785238,57.7221766073229,19.0995933069876,2.688841658524e-18,6.982113150036e-15,24.5902120784022
"CR1",32.0807314800124,61.2176627074596,19.083502614846,2.75233094845317e-18,6.982113150036e-15,24.5779458649167
"KCNQ1",30.3496690056123,60.1224165827092,18.2716666992015,9.13582240439561e-18,1.97354499557915e-14,23.9348272069352
"TPCN1",31.185390920877,71.4773731538131,18.2573017795266,9.33559600557779e-18,1.97354499557915e-14,23.9230066037634
"COA6",-25.1672630525291,62.060719917857,-17.9457523139744,1.49772564110213e-17,2.7221710224522e-14,23.6627110456947
"MTA2",24.9352932720616,80.0091899611732,17.9437561248373,1.50230188877053e-17,2.7221710224522e-14,23.6610187611586
"TTI2",-26.553883422113,55.2410087386161,-17.8305831929536,1.78680274952014e-17,2.88185653568737e-14,23.5645577078339
"PDIA3P1",19.5408893589007,73.6815767205723,17.819452178003,1.81763263051868e-17,2.88185653568737e-14,23.5550151559152
"CTNNAL1",-41.5814016256536,54.9126635417215,-17.6865734453595,2.23098753674419e-17,3.32915834306627e-14,23.4403283624217
"SGSM3",26.1561255965257,77.4145735470911,17.5121326466577,2.92530088755635e-17,4.12272405086274e-14,23.287586104336
"DNAJC9",-23.7579433224756,73.1272738158534,-17.4275002832419,3.33896482883322e-17,4.45804525146532e-14,23.2125755734417
"LMNA",-41.914161841386,88.1994778066125,-17.2724594184785,4.26031015628503e-17,5.40377740223193e-14,23.0736040118086
