X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
TAF11,83.6137773080855,80.1169984111398,60.3531227095864,5.50292126200098e-63,8.37599645289169e-59,36.2081110945031
USP39,88.2288623363114,79.4668603480616,59.1116558837663,2.35631617630203e-62,1.47214975720657e-58,36.1450765958997
ZCCHC3,82.0155385073785,71.1432221089244,58.9028753807856,3.0179262649673e-62,1.47214975720657e-58,36.1341043551537
TARS,89.8877231067593,77.5302882480841,58.6940587669502,3.86873334789192e-62,1.47214975720657e-58,36.1230194386026
NUP85,84.7549377356539,79.9260596906674,57.9057998168522,9.95577438070406e-62,3.03073683697393e-58,36.0801508259454
KIAA1191,91.5090743333521,80.0645937054891,57.3995342697982,1.83891559691635e-61,4.60943342902525e-58,36.0517361858346
ELF2,80.7176959820433,78.3717249736092,57.2828475731032,2.11983667322625e-61,4.60943342902525e-58,36.0450862253815
ZC3H7A,93.4758555258669,86.3357218768578,56.899258501782,3.3893566595687e-61,6.42664840555314e-58,36.0229535724984
DAZAP1,84.0891299172095,88.2865340558234,56.8061570867938,3.80000234215743e-61,6.42664840555314e-58,36.0175180187924
GLYR1,80.8869072165243,81.6180744898788,56.6794006138683,4.44150095014779e-61,6.72078304744091e-58,36.0100770456357
KIAA0232,84.581038575941193,80.2935448308885,56.6068516006895,4.85701422520531e-61,6.72078304744091e-58,36.0057970442469
FTSJ1,82.310095186196,76.0672106549823,56.2489936865491,7.56224535028997e-61,9.5920780397303e-58,35.9844571564395
MBD1,91.9963010707925,85.4894378704463,56.1392694043852,8.66645333596417e-61,1.01470835559008e-57,35.9778371317415
STT3B,87.096275188588,82.3739050500901,56.0018071941266,1.02837510677046e-60,1.08859843798898e-57,35.9694919688939
ITCH,82.549385092346,84.3412216069633,55.967885867548,1.07279262662339e-60,1.08859843798898e-57,35.9674237603816
POLDIP2,78.3965469472723,77.1033200958735,55.7930235090179,1.33460074253006e-60,1.26962236887812e-57,35.9567060412555
